# Zini Age Mini  Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00800 2.51e+07 0.7500000000    0.750 -0.611  3.6586  4.510    0  0.000  0.538     0.00     0.00 -1  1.98e-14      0.00 7.290e-01 2.630e-01 1.420e-03 3.876e-04 3.520e-03 -1.000 8.000e-03 6.297 8.614 7.834 6.789 6.142 5.620 4.864 4.228 4.147
0.00800 2.51e+07 0.7631431222    0.763 -0.574  3.6643  4.504    0  0.000  0.538     0.00     0.00 -1  2.14e-14      0.00 7.290e-01 2.630e-01 1.419e-03 3.876e-04 3.520e-03 -1.000 8.000e-03 6.206 8.421 7.683 6.660 6.034 5.524 4.789 4.172 4.094
0.00800 2.51e+07 0.7892673612    0.789 -0.492  3.6784  4.493    0  0.000  0.538     0.00     0.00 -1  2.58e-14      0.00 7.290e-01 2.630e-01 1.419e-03 3.876e-04 3.520e-03 -1.000 8.000e-03 5.999 7.968 7.335 6.365 5.787 5.309 4.624 4.052 3.982
0.00800 2.51e+07 0.7977272868    0.798 -0.464  3.6834  4.489    0  0.000  0.537     0.00     0.00 -1  2.75e-14      0.00 7.290e-01 2.630e-01 1.419e-03 3.876e-04 3.520e-03 -1.000 8.000e-03 5.930 7.813 7.218 6.267 5.705 5.237 4.570 4.014 3.946
0.00800 2.51e+07 0.8204404116    0.820 -0.389  3.6971  4.481    0  0.000  0.538     0.00     0.00 -1  3.25e-14      0.00 7.290e-01 2.630e-01 1.419e-03 3.876e-04 3.520e-03 -1.000 8.000e-03 5.743 7.397 6.910 6.010 5.489 5.048 4.428 3.915 3.853
0.00800 2.51e+07 0.8436664343    0.843 -0.311  3.7115  4.473    0  0.000  0.538     0.00     0.00 -1  3.87e-14      0.00 7.290e-01 2.630e-01 1.419e-03 3.876e-04 3.520e-03 -1.000 8.000e-03 5.548 6.976 6.601 5.757 5.273 4.858 4.286 3.814 3.760
0.00800 2.51e+07 0.8454545736    0.845 -0.305  3.7126  4.473    0  0.000  0.538     0.00     0.00 -1  3.92e-14      0.00 7.290e-01 2.630e-01 1.419e-03 3.876e-04 3.520e-03 -1.000 8.000e-03 5.533 6.943 6.577 5.738 5.257 4.843 4.275 3.806 3.752
0.00800 2.51e+07 0.8593704104    0.859 -0.258  3.7213  4.467    0  0.000  0.537     0.00     0.00 -1  4.36e-14      0.00 7.290e-01 2.630e-01 1.419e-03 3.876e-04 3.520e-03 -1.000 8.000e-03 5.415 6.693 6.394 5.589 5.129 4.730 4.189 3.745 3.694
0.00800 2.51e+07 0.8817254901    0.881 -0.182  3.7352  4.458    0  0.000  0.537     0.00     0.00 -1  5.19e-14      0.00 7.290e-01 2.630e-01 1.419e-03 3.876e-04 3.520e-03 -1.000 8.000e-03 5.224 6.302 6.105 5.358 4.929 4.553 4.054 3.646 3.600
0.00800 2.51e+07 0.8931818008    0.893 -0.143  3.7423  4.452    0  0.000  0.537     0.00     0.00 -1  5.67e-14      0.00 7.290e-01 2.630e-01 1.419e-03 3.876e-04 3.520e-03 -1.000 8.000e-03 5.126 6.110 5.960 5.244 4.829 4.465 3.987 3.595 3.553
0.00800 2.51e+07 0.8939617276    0.893 -0.140  3.7428  4.452    0  0.000  0.537     0.00     0.00 -1  5.71e-14      0.00 7.290e-01 2.630e-01 1.419e-03 3.876e-04 3.520e-03 -1.000 8.000e-03 5.120 6.098 5.950 5.236 4.823 4.459 3.982 3.591 3.549
0.00800 2.51e+07 0.9150189161    0.915 -0.070  3.7551  4.441    0  0.000  0.537     0.00     0.00 -1  6.72e-14      0.00 7.290e-01 2.630e-01 1.419e-03 3.876e-04 3.520e-03 -1.000 8.000e-03 4.944 5.771 5.698 5.036 4.648 4.304 3.860 3.498 3.461
0.00800 2.51e+07 0.9405404925    0.940  0.008  3.7690  4.431    0  0.000  0.537     0.00     0.00 -1  8.05e-14      0.00 7.290e-01 2.630e-01 1.419e-03 3.876e-04 3.520e-03 -1.000 8.000e-03 4.750 5.426 5.423 4.820 4.458 4.135 3.729 3.398 3.366
0.00800 2.51e+07 0.9409090877    0.940  0.009  3.7691  4.431    0  0.000  0.537     0.00     0.00 -1  8.06e-14      0.00 7.290e-01 2.630e-01 1.419e-03 3.876e-04 3.520e-03 -1.000 8.000e-03 4.748 5.423 5.420 4.818 4.457 4.134 3.728 3.397 3.365
